Time,X_estimated,Y_estimated,Psi_estimated,Roll_estimated,Rollrate_estimated,Delta_estimated,Velocity_estimated,GPS_X,GPS_Y,a_y,w_x,w_z,Delta_enc,Velocity,Steerrate
43.41,31.7377834275466,52.9662178709926,2.12842660394303,-0.00286081752504577,-0.0202754879730981,-0.0158275826227377,1.9999586251117,31.7482533498091,52.9491743410952,0.00791777083239867,-0.0196041398892409,-0.0271677528620128,-0.0158289470013204,2,0.050816326056629
43.42,31.7273145285343,52.9832591088574,2.1281549498317,-0.00309152517477813,-0.0204039439544848,-0.0153125777777139,1.99995899443222,31.7482533498091,52.9491743410952,0.0120995945970449,-0.019723738625992,-0.0262839098779684,-0.015313987084577,2,0.0514959916743388
43.43,31.7168465335652,53.000300872247,2.12789213492133,-0.00332298490492727,-0.020529091306141,-0.0147908617448778,1.9999593604561,31.7482533498091,52.9491743410952,0.0163063008400325,-0.0198401434196863,-0.0253885476952847,-0.0147923156526897,2,0.0521671431887339
43.44,31.7063792429974,53.0173430391468,2.12763827439828,-0.00355516461693399,-0.0206509130997058,-0.0142625201864068,1.99995972321279,31.7482533498091,52.9491743410952,0.0205372085099687,-0.0199533362638587,-0.0244818132483209,-0.0142640183151013,2,0.05282973375884
43.45,31.6959124558112,53.03438548678,2.12739348197868,-0.00378802839876769,-0.0207693907012815,-0.0137276395267349,1.99996008273144,31.7482533498091,52.9491743410952,0.0247916327724419,-0.0200632993662987,-0.0235638549639943,-0.0137291815508746,2,0.0534836764226683
43.46,31.685445969644,53.051428091619,2.12715786989532,-0.0040215391844388,-0.0208845054355827,-0.0131863071822423,1.99996043904095,31.7482533498091,52.9491743410952,0.0290688850814528,-0.0201700153320159,-0.0226348229357424,-0.0131878928100494,2,0.0541288740825176
43.47,31.6749795808276,53.0684707293986,2.12693154888063,-0.0042556595169442,-0.0209962390207339,-0.0126386115791657,1.99996079216997,31.7482533498091,52.9491743410952,0.033368273270677,-0.0202734672116969,-0.0216948689524701,-0.012640240530508,2,0.0547652279541355
43.48,31.664513084425,53.085513275128,2.12671462814934,-0.00449035176462729,-0.0211045736667188,-0.0120846421365912,1.9999611421469,31.7482533498091,52.9491743410952,0.0376891016498547,-0.0203736385136809,-0.0207441464880997,-0.0120863141318869,2,0.055392639862112
43.49,31.6540462742686,53.1025556031045,2.12650721538148,-0.00472557818222429,-0.0212094920884571,-0.011524489248022,1.99996148899985,31.7482533498091,52.9491743410952,0.0420306711024373,-0.0204705132068793,-0.0197828106812392,-0.0115262040037304,2,0.0560110128156516
43.5,31.643576468535,53.1195945886257,2.12632437101735,-0.00496130092904608,-0.0213109775012888,-0.0109582442654369,1.99996156035657,31.6435756280402,53.1195931611751,0.0463922791836058,-0.0205640757219691,-0.018811018312829,-0.0109600014924671,2,0.0566202511263323
43.51,31.6331081542284,53.1366359423426,2.1261362909941,-0.005197510308743,-0.0214090142988227,-0.0103859933607734,1.99996190347651,31.6435756280402,53.1195931611751,0.0507732186366305,-0.0206542998301282,-0.0178289163463135,-0.0103877922244859,2,0.0572209267981191
43.52,31.6226389006127,53.1536766970292,2.12595803270514,-0.00543411761492264,-0.0215035739679128,-0.0098078346690635,1.99996224353368,31.6435756280402,53.1195931611751,0.0551727797185368,-0.0207411809557472,-0.0168366755416433,-0.00980967569090859,2,0.0578116533577309
43.53,31.6121684969708,53.1707167242494,2.12578969754779,-0.00567110095394222,-0.0215946509692808,-0.00922386388470803,1.99996258055544,31.6435756280402,53.1195931611751,0.0595902505144549,-0.0208247059676664,-0.0158344585927673,-0.00922574668330321,2,0.0583929007605382
43.54,31.6016967315581,53.1877558949246,2.12563138527697,-0.00590842673962009,-0.0216822328726049,-0.00863417624809043,1.99996291456888,31.6435756280402,53.1195931611751,0.0640249162844553,-0.0209048613994202,-0.0148224288820559,-0.00863610039433789,2,0.0589646288965313
43.55,31.5912233916329,53.2047940793398,2.12548319401292,-0.00614605798630396,-0.0217663057792431,-0.00803886766327146,1.99996324560085,31.6435756280402,53.1195931611751,0.0684760594765953,-0.0209816340449043,-0.0138007510972089,-0.00804083277721443,2,0.0595267617123464
43.56,31.5807482634936,53.2218311471552,2.12534522022986,-0.00638395670862275,-0.0218468558234292,-0.00743803490269095,1.99996357367795,31.6435756280402,53.1195931611751,0.0729429598055882,-0.0210550111235176,-0.0127695913839047,-0.00744004063460737,2,0.0600792142607064
43.57,31.5702711325191,53.2388669674187,2.12521755874107,-0.00662208461043199,-0.0219238695645413,-0.00683177562082239,1.99996389882658,31.6435756280402,53.1195931611751,0.0774248943493852,-0.0211249803239912,-0.0117291173676191,-0.00683382163137632,2,0.0606219003231044
43.58,31.5597917832082,53.255901408578,2.12510030268376,-0.00686040328071254,-0.0219973340759792,-0.00622018833631945,1.99996422107287,31.6435756280402,53.1195931611751,0.0819211376504063,-0.0211915298153156,-0.010679498139886,-0.00622227428656133,2,0.0611547344814995
43.59,31.5493099992208,53.2729343384932,2.12499354350422,-0.00709887424937116,-0.0220672369570377,-0.0056033724128648,1.99996454044272,31.6435756280402,53.1195931611751,0.086430961817932,-0.0212546482495018,-0.00962090423562506,-0.00560549796017267,2,0.0616776326388658
43.6,31.5388222974666,53.2899647924871,2.12491036368326,-0.00733745900437779,-0.0221335663289149,-0.00498142804225427,1.99996507671889,31.5388208900171,53.289964640031,0.0909536366308566,-0.021314324762784,-0.00855350760862458,-0.00498359283890652,2,0.0621905121266146
43.61,31.5283347695353,53.3069941668136,2.12482486576231,-0.00757614352081378,-0.0221963114236685,-0.00435445090967286,1.99996538845108,31.5388208900171,53.289964640031,0.0954884282667865,-0.0213705393170098,-0.00747747167281026,-0.00435665413381632,2,0.0626938705090205
43.62,31.5178441532734,53.3240216299926,2.12475012886025,-0.00781484519124966,-0.0222554503497054,-0.00372254708060197,1.99996569740067,31.5388208900171,53.289964640031,0.10003460133963,-0.0214232907631694,-0.00639298049303264,-0.0037247890879552,2,0.063186504586112
43.63,31.5073502293831,53.3410470476482,2.12468623753565,-0.00805353948316196,-0.0223109812569105,-0.00308582048724309,1.99996600359253,31.5388208900171,53.289964640031,0.104591419190269,-0.0214725706055954,-0.00530021110525597,-0.00308810084908475,2,0.0636688238870442
43.64,31.4968527779409,53.3580702848837,2.12463327456321,-0.0082921917528908,-0.0223628963971408,-0.00244437465100374,1.99996630705125,31.5388208900171,53.289964640031,0.109158143337093,-0.0215183701413123,-0.00419934111516551,-0.00244669289690733,2,0.0641407952177421
43.65,31.4863515784312,53.3750912062896,2.12459132094089,-0.00853076444963853,-0.0224111868343225,-0.00179831365025213,1.99996660780124,31.5388208900171,53.289964640031,0.113734033505144,-0.0215606809775444,-0.00309054922878161,-0.00180066935222155,2,0.0646023544685781
43.66,31.4758464097871,53.3921096759545,2.12456045588031,-0.00876921920073079,-0.0224558437484486,-0.00114774229506279,1.99996690586668,31.5388208900171,53.289964640031,0.118318347712286,-0.021599495175317,-0.00197401537980852,-0.00115013505112051,2,0.0650534301101043
43.67,31.465337050431,53.4091255574774,2.12454075679418,-0.00900751741093092,-0.0224968587764078,-0.000492766136010009,1.99996720127152,31.5388208900171,53.289964640031,0.122910342370976,-0.0216348052876938,-0.000849920743322003,-0.000495195552966691,2,0.0654939498153818
43.68,31.4548232783177,53.4261387139803,2.12453229928365,-0.00924562043351338,-0.022534224089299,0.000166508554420972,1.99996749403952,31.5388208900171,53.289964640031,0.1275092723941,-0.0216666043694321,0.000281552281453447,0.00016404286964267,2,0.0659238422609361
43.69,31.444304870976,53.4431490081203,2.12453515712584,-0.00948348961965507,-0.0225679324028619,0.000829974801565562,1.99996778419422,31.5388208900171,53.289964640031,0.132114391301852,-0.0216948859795381,0.00142022009615429,0.000827473245447171,2,0.0663430375804501
