Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
73.2,-21.0447930894594,62.9240614909909,-2.54560240284523,0.0144254139548442,0.000839244274037314,-0.0441386690458655,2
73.205,-21.053173334097,62.9186051644087,-2.54560240284523,0.0144292024255039,0.000675418605290592,-0.0443027799463603,2
73.21,-21.0615539606931,62.9131494245123,-2.54636027023918,0.0144321609170958,0.000507239405284492,-0.0444668908468552,2
73.215,-21.0699390948883,62.9077006150561,-2.54636027023918,0.0144342894926573,0.000343464613878448,-0.0446256691939527,2
73.22,-21.0783245981296,62.9022523735644,-2.54712377777167,0.0144355883312164,0.000175331367174877,-0.0447844475410503,2
73.225,-21.0867146210644,62.8968110947516,-2.54712377777167,0.014436057557158,1.16320922497181e-05,-0.0449378726735351,2
73.23,-21.0951050001175,62.8913703650846,-2.54789274227004,0.0144356974129899,-0.000156429907429945,-0.0450912978060199,2
73.235,-21.1034999098532,62.8859366287554,-2.54789274227004,0.014434508085565,-0.000320028581132668,-0.04523934958819,2
73.24,-21.1118951627659,62.8805034226578,-2.54866697984264,0.0144324898819986,-0.000487993586250997,-0.0453874013703601,2
73.245,-21.1202949562486,62.8750772389697,-2.54866697984264,0.0144296430518625,-0.000651466477291682,-0.0455300604123915,2
73.25,-21.1286950799552,62.8696515665061,-2.54944630589708,0.0144259679671181,-0.000819308641430171,-0.0456727194544228,2
73.255,-21.1370997530211,62.8642329439295,-2.54944630589708,0.0144214649400591,-0.000982630570929136,-0.0458099671747148,2
73.26,-21.1455047433484,62.8588148134798,-2.55023053516602,0.0144161344074776,-0.0011503240497889,-0.0459472148950068,2
73.265,-21.15391429073,62.8534037587943,-2.55023053516602,0.0144099767443212,-0.00131346987030745,-0.046079033537936,2
73.27,-21.1623241424035,62.8479931770507,-2.55101948173512,0.0144029924521238,-0.00148098885112264,-0.0462108521808651,2
73.275,-21.1707385577363,62.8425896953415,-2.55101948173512,0.0143951819683937,-0.00164393345642609,-0.0463372248223577,2
73.28,-21.1791532643865,62.8371866673046,-2.5518129590716,0.0143865458592927,-0.00181125216792951,-0.0464635974638502,2
73.285,-21.1875725402156,62.8317907619596,-2.5518129590716,0.0143770846247847,-0.00197397049797523,-0.046584508013833,2
73.29,-21.1959920943848,62.8263952909357,-2.55261078005307,0.0143667988955328,-0.00214106321550587,-0.0467054185638159,2
73.295,-21.2044162221712,62.8210069636427,-2.55261078005307,0.0143556892338409,-0.00230353026048778,-0.0468208517679592,2
73.3,-21.2128406153202,62.8156190512406,-2.55341275699636,0.0143437563347363,-0.0024703713101377,-0.0469362849721025,2
73.305,-21.221269585444,62.8102383019773,-2.55341275699636,0.014331000839171,-0.00263255552180494,-0.0470462224361296,2
73.31,-21.2296988079451,62.8048579480849,-2.55421870168655,0.014317423523209,-0.00279911257542498,-0.0471561599001566,2
73.315,-21.238132609707,62.7994847751095,-2.55421870168655,0.0143030250750078,-0.00296099502415573,-0.0472605917885272,2
73.32,-21.2465666508738,62.7941119779254,-2.55502842526923,0.0142878063194694,-0.00312724859251283,-0.0473650236768977,2
73.325,-21.255005272525,62.7887463778086,-2.55502842526923,0.0142717680051402,-0.00328880506307843,-0.0474639376417629,2
73.33,-21.2634441206153,62.7833811338352,-2.55584173854496,0.0142549110192323,-0.00345473027980399,-0.0475628516066281,2
73.335,-21.2718875493533,62.7780231014414,-2.55584173854496,0.0142372361717118,-0.00361593614741953,-0.047656235841325,2
